timestamp,open,high,low,close,volume
2020-10-21,1573.3300,1618.7300,1571.6301,1593.3100,2568345
2020-10-20,1527.0500,1577.5000,1525.6700,1555.9300,2242572
2020-10-19,1580.4600,1588.1500,1528.0000,1534.6100,1607075
2020-10-16,1565.8500,1581.1300,1563.0000,1573.0100,1435137
2020-10-15,1547.1500,1575.1050,1545.0300,1559.1300,1540817
2020-10-14,1578.5900,1587.6841,1550.5300,1568.0800,1930990
2020-10-13,1583.7300,1590.0000,1563.2000,1571.6800,1601043
2020-10-12,1543.0000,1593.8600,1532.5700,1569.1500,2482560
2020-10-09,1494.7000,1516.5200,1489.4500,1515.2200,1435542
2020-10-08,1465.0900,1490.0000,1465.0900,1485.9300,1187831
2020-10-07,1464.2900,1468.9600,1436.0000,1460.2900,1746156
2020-10-06,1475.5800,1486.7600,1448.5901,1453.4400,1245423
2020-10-05,1466.2100,1488.2100,1464.2700,1486.0200,1113257
2020-10-02,1462.0300,1483.2000,1450.9200,1458.4200,1284071
2020-10-01,1484.2700,1499.0400,1479.2100,1490.0900,1779497
2020-09-30,1466.8000,1489.7500,1459.8800,1469.6000,1701608
2020-09-29,1470.3900,1476.6632,1458.8050,1469.3300,979102
2020-09-28,1474.2100,1476.8000,1449.3012,1464.5200,2007941
2020-09-25,1432.6300,1450.0000,1413.3400,1444.9600,1323375
2020-09-24,1411.0300,1443.7088,1409.8500,1428.2900,1450216
2020-09-23,1458.7800,1460.9600,1407.7000,1415.2100,1657350
2020-09-22,1450.0900,1469.5200,1434.5300,1465.4600,1583201
2020-09-21,1440.0600,1448.3600,1406.5500,1431.1600,2888827
2020-09-18,1498.0100,1503.0032,1437.1300,1459.9900,3103882
2020-09-17,1496.0000,1508.2984,1470.0001,1495.5300,1879751
2020-09-16,1555.5400,1562.0000,1519.8200,1520.9000,1312299
2020-09-15,1536.0000,1559.5700,1531.8350,1541.4400,1331082
2020-09-14,1539.0050,1563.9999,1515.7400,1519.2800,1696589
2020-09-11,1536.0000,1575.2000,1497.3600,1520.7200,1597087
2020-09-10,1560.6400,1584.0810,1525.8050,1532.0200,1618557
2020-09-09,1557.5300,1569.0000,1536.0511,1556.9600,1774704
2020-09-08,1533.5100,1563.8650,1528.0100,1532.3900,2610884
2020-09-04,1624.2600,1645.1100,1547.6125,1591.0400,2608568
2020-09-03,1709.7143,1709.7143,1615.0600,1641.8400,3107763
2020-09-02,1673.7754,1733.1799,1666.3301,1728.2800,2511180
2020-09-01,1636.6300,1665.7300,1632.2200,1660.7100,1826655
2020-08-31,1647.8900,1647.9650,1630.3100,1634.1800,1823406
2020-08-28,1633.4900,1647.1699,1630.7500,1644.4100,1499782
2020-08-27,1653.6800,1655.0000,1625.7500,1634.3300,1861602
2020-08-26,1608.0000,1659.2200,1603.6000,1652.3800,3581072
2020-08-25,1582.0700,1611.6200,1582.0700,1608.2200,2132084
2020-08-24,1593.9800,1614.1700,1580.5700,1588.2000,1410229
2020-08-21,1577.0300,1597.7200,1568.0050,1580.4200,1446453
2020-08-20,1543.4500,1585.8700,1538.2000,1581.7500,1706877
2020-08-19,1553.3100,1573.6800,1543.9500,1547.5300,1660611
2020-08-18,1526.1800,1562.4700,1523.7100,1558.6000,2027086
2020-08-17,1514.6700,1525.6100,1507.9700,1517.9800,1364082
2020-08-14,1515.6600,1521.9000,1502.8800,1507.7300,1355200
2020-08-13,1510.3400,1537.2500,1508.0050,1518.4500,1455208
2020-08-12,1485.5800,1512.3859,1485.2500,1506.6200,1437655
2020-08-11,1492.4400,1510.0000,1478.0000,1480.3200,1454365
2020-08-10,1487.1800,1504.0750,1473.0800,1496.1000,1289530
2020-08-07,1500.0000,1516.8450,1481.6400,1494.4900,1577826
2020-08-06,1471.7500,1502.3900,1466.0000,1500.1000,1995368
